iter	Passed	Remaining
0	46	46826
1	47	23542
2	47	15766
3	47	11925
4	48	9584
5	48	8024
6	48	6909
7	48	6072
8	49	5416
9	49	4891
10	49	4462
11	49	4104
12	50	3800
13	50	3539
14	50	3315
15	50	3117
16	50	2946
17	51	2792
18	51	2653
19	51	2529
20	51	2417
21	52	2315
22	52	2221
23	52	2136
24	52	2057
25	52	1984
26	53	1917
27	53	1854
28	53	1795
29	53	1741
30	54	1690
31	54	1642
32	54	1599
33	54	1556
34	55	1516
35	55	1478
36	55	1442
37	55	1408
38	55	1376
39	56	1346
40	56	1319
41	56	1291
42	56	1264
43	57	1239
44	57	1217
45	57	1194
46	57	1173
47	58	1152
48	58	1133
49	58	1114
50	58	1095
51	59	1076
52	59	1061
53	59	1045
54	59	1029
55	60	1013
56	60	999
57	60	985
58	60	971
59	61	958
60	61	946
61	61	933
62	61	921
63	62	909
64	62	897
65	62	886
66	62	875
67	63	865
68	63	855
69	63	845
70	63	835
71	64	825
72	64	815
73	64	806
74	64	797
75	64	788
76	65	780
77	65	772
78	65	763
79	65	756
80	66	748
81	66	741
82	66	733
83	66	726
84	66	719
85	67	712
86	67	706
87	67	699
88	67	693
89	67	686
90	68	680
91	68	674
92	68	668
93	68	663
94	68	657
95	69	651
96	69	646
97	69	640
98	69	635
99	70	630
100	70	625
101	70	620
102	70	615
103	70	610
104	71	606
105	71	601
106	71	597
107	71	592
108	71	588
109	72	584
110	72	579
111	72	575
112	72	571
113	73	567
114	73	564
115	73	560
116	73	556
117	73	552
118	74	548
119	74	544
120	74	541
121	74	537
122	74	533
123	75	530
124	75	526
125	75	523
126	75	520
127	75	517
128	76	514
129	76	511
130	76	508
131	76	504
132	77	501
133	77	498
134	77	496
135	77	493
136	77	490
137	78	487
138	78	484
139	78	482
140	79	481
141	79	478
142	79	476
143	79	473
144	79	471
145	80	469
146	80	466
147	80	464
148	80	461
149	81	459
150	81	456
151	81	454
152	81	452
153	81	449
154	82	447
155	82	445
156	82	443
157	82	441
158	82	438
159	83	436
160	83	434
161	83	432
162	83	430
163	84	429
164	84	427
165	84	425
166	84	423
167	85	421
168	85	419
169	85	417
170	85	415
171	85	413
172	86	411
173	86	410
174	86	408
175	86	406
176	87	405
177	87	403
178	87	401
179	87	400
180	88	398
181	88	396
182	88	395
183	88	393
184	88	391
185	89	390
186	89	388
187	89	386
188	89	385
189	90	383
190	90	382
191	90	380
192	90	379
193	91	378
194	91	376
195	91	375
196	91	374
197	92	373
198	92	371
199	92	370
200	92	369
